sentence_id,words,labels
1,EU,B-ORG
1,rejects,O
1,German,B-MISC
1,call,O
1,to,O
1,boycott,O
1,British,B-MISC
1,lamb,O
1,.,O
2,Peter,B-PER
2,Blackburn,I-PER
3,BRUSSELS,B-LOC
3,1996-08-22,O
4,The,O
4,European,B-ORG
4,Commission,I-ORG
4,said,O
4,on,O
4,Thursday,O
4,it,O
4,disagreed,O
4,with,O
4,German,B-MISC
4,advice,O
4,to,O
4,consumers,O
4,to,O
4,shun,O
4,British,B-MISC
4,lamb,O
4,until,O
4,scientists,O
4,determine,O
4,whether,O
4,mad,O
4,cow,O
4,disease,O
4,can,O
4,be,O
4,transmitted,O
4,to,O
4,sheep,O
4,.,O
5,Germany,B-LOC
5,'s,O
5,representative,O
5,to,O
5,the,O
5,European,B-ORG
5,Union,I-ORG
5,'s,O
5,veterinary,O
5,committee,O
5,Werner,B-PER
5,Zwingmann,I-PER
5,said,O
5,on,O
5,Wednesday,O
5,consumers,O
5,should,O
5,buy,O
5,sheepmeat,O
5,from,O
5,countries,O
5,other,O
5,than,O
5,Britain,B-LOC
5,until,O
5,the,O
5,scientific,O
5,advice,O
5,was,O
5,clearer,O
5,.,O
6,"""",O
6,We,O
6,do,O
6,n't,O
6,support,O
6,any,O
6,such,O
6,recommendation,O
6,because,O
6,we,O
6,do,O
6,n't,O
6,see,O
6,any,O
6,grounds,O
6,for,O
6,it,O
6,",",O
6,"""",O
6,the,O
6,Commission,B-ORG
6,'s,O
6,chief,O
6,spokesman,O
6,Nikolaus,B-PER
6,van,I-PER
6,der,I-PER
6,Pas,I-PER
6,told,O
6,a,O
6,news,O
6,briefing,O
6,.,O
7,He,O
7,said,O
7,further,O
7,scientific,O
7,study,O
7,was,O
7,required,O
7,and,O
7,if,O
7,it,O
7,was,O
7,found,O
7,that,O
7,action,O
7,was,O
7,needed,O
7,it,O
7,should,O
7,be,O
7,taken,O
7,by,O
7,the,O
7,European,B-ORG
7,Union,I-ORG
7,.,O
8,He,O
8,said,O
8,a,O
8,proposal,O
8,last,O
8,month,O
8,by,O
8,EU,B-ORG
8,Farm,O
8,Commissioner,O
8,Franz,B-PER
8,Fischler,I-PER
8,to,O
8,ban,O
8,sheep,O
8,brains,O
8,",",O
8,spleens,O
8,and,O
8,spinal,O
8,cords,O
8,from,O
8,the,O
8,human,O
8,and,O
8,animal,O
8,food,O
8,chains,O
8,was,O
8,a,O
8,highly,O
8,specific,O
8,and,O
8,precautionary,O
8,move,O
8,to,O
8,protect,O
8,human,O
8,health,O
8,.,O
9,Fischler,B-PER
9,proposed,O
9,EU-wide,B-MISC
9,measures,O
9,after,O
9,reports,O
9,from,O
9,Britain,B-LOC
9,and,O
9,France,B-LOC
9,that,O
9,under,O
9,laboratory,O
9,conditions,O
9,sheep,O
9,could,O
9,contract,O
9,Bovine,B-MISC
9,Spongiform,I-MISC
9,Encephalopathy,I-MISC
9,(,O
9,BSE,B-MISC
9,),O
9,--,O
9,mad,O
9,cow,O
9,disease,O
9,.,O
10,But,O
10,Fischler,B-PER
10,agreed,O
10,to,O
10,review,O
10,his,O
10,proposal,O
10,after,O
10,the,O
10,EU,B-ORG
10,'s,O
10,standing,O
10,veterinary,O
10,committee,O
10,",",O
10,mational,O
10,animal,O
10,health,O
10,officials,O
10,",",O
10,questioned,O
10,if,O
10,such,O
10,action,O
10,was,O
10,justified,O
10,as,O
10,there,O
10,was,O
10,only,O
10,a,O
10,slight,O
10,risk,O
10,to,O
10,human,O
10,health,O
10,.,O
11,Spanish,B-MISC
11,Farm,O
11,Minister,O
11,Loyola,B-PER
11,de,I-PER
11,Palacio,I-PER
11,had,O
11,earlier,O
11,accused,O
11,Fischler,B-PER
11,at,O
11,an,O
11,EU,B-ORG
11,farm,O
11,ministers,O
11,',O
11,meeting,O
11,of,O
11,causing,O
11,unjustified,O
11,alarm,O
11,through,O
11,"""",O
11,dangerous,O
11,generalisation,O
11,.,O
11,"""",O
12,.,O
13,Only,O
13,France,B-LOC
13,and,O
13,Britain,B-LOC
13,backed,O
13,Fischler,B-PER
13,'s,O
13,proposal,O
13,.,O
14,The,O
14,EU,B-ORG
14,'s,O
14,scientific,O
14,veterinary,O
14,and,O
14,multidisciplinary,O
14,committees,O
14,are,O
14,due,O
14,to,O
14,re-examine,O
14,the,O
14,issue,O
14,early,O
14,next,O
14,month,O
14,and,O
14,make,O
14,recommendations,O
14,to,O
14,the,O
14,senior,O
14,veterinary,O
14,officials,O
14,.,O
15,Sheep,O
15,have,O
15,long,O
15,been,O
15,known,O
15,to,O
15,contract,O
15,scrapie,O
15,",",O
15,a,O
15,brain-wasting,O
15,disease,O
15,similar,O
15,to,O
15,BSE,B-MISC
15,which,O
15,is,O
15,believed,O
15,to,O
15,have,O
15,been,O
15,transferred,O
15,to,O
15,cattle,O
15,through,O
15,feed,O
15,containing,O
15,animal,O
15,waste,O
15,.,O
16,British,B-MISC
16,farmers,O
16,denied,O
16,on,O
16,Thursday,O
16,there,O
16,was,O
16,any,O
16,danger,O
16,to,O
16,human,O
16,health,O
16,from,O
16,their,O
16,sheep,O
16,",",O
16,but,O
16,expressed,O
16,concern,O
16,that,O
16,German,B-MISC
16,government,O
16,advice,O
16,to,O
16,consumers,O
16,to,O
16,avoid,O
16,British,B-MISC
16,lamb,O
16,might,O
16,influence,O
16,consumers,O
16,across,O
16,Europe,B-LOC
16,.,O
17,"""",O
17,What,O
17,we,O
17,have,O
17,to,O
17,be,O
17,extremely,O
17,careful,O
17,of,O
17,is,O
17,how,O
17,other,O
17,countries,O
17,are,O
17,going,O
17,to,O
17,take,O
17,Germany,B-LOC
17,'s,O
17,lead,O
17,",",O
17,"""",O
17,Welsh,B-ORG
17,National,I-ORG
17,Farmers,I-ORG
17,',I-ORG
17,Union,I-ORG
17,(,O
17,NFU,B-ORG
17,),O
